smiles_a,smiles_b,tanimoto,label
Cc1cc(NC(=O)c2cn(C3(C)CC3)c3ncnc(N)c23)n[nH]1,Cc1cc(NC(=O)c2nn(C3CC4CCC3C4)c3ncnc(N)c23)n[nH]1,0.493,0
Cc1cc(NC(=O)c2cn(C3(C)CC3)c3ncnc(N)c23)n[nH]1,CCc1cc(NC(=O)c2nn(C(C)(C)C)c3ncnc(N)c23)[nH]n1,0.342,0
Cc1cc(NC(=O)c2cn(C3(C)CC3)c3ncnc(N)c23)n[nH]1,Cc1cc(NC(=O)c2c(C#Cc3cncn3C)n(C3(C)CC3)c3ncnc(N)c23)[nH]n1,0.393,0
Cc1cc(NC(=O)c2cn(C3(C)CC3)c3ncnc(N)c23)n[nH]1,Cc1cc(NC(=O)c2c(C#CC(C)(C)O)n(C3(C)CC3)c3ncnc(N)c23)n[nH]1,0.577,0
Cc1cc(NC(=O)c2cn(C3(C)CC3)c3ncnc(N)c23)n[nH]1,CC(C)n1cc(C(=O)Nc2cc(Br)[nH]n2)c2c(N)ncnc21,0.538,0
Cc1cc(NC(=O)c2cn(C3(C)CC3)c3ncnc(N)c23)n[nH]1,Cc1cc(NC(=O)c2nn(CC3CCC3)c3ncnc(N)c23)n[nH]1,0.522,0
Cc1cc(NC(=O)c2cn(C3(C)CC3)c3ncnc(N)c23)n[nH]1,CC(C)(C)n1nc(C(=O)Nc2cc(C#N)[nH]n2)c2c(N)ncnc21,0.411,0
Cc1cc(NC(=O)c2cn(C3(C)CC3)c3ncnc(N)c23)n[nH]1,CC(C)(C)n1cc(C(=O)Nc2cc(Br)[nH]n2)c2c(N)ncnc21,0.538,0
Cc1cc(NC(=O)c2cn(C3(C)CC3)c3ncnc(N)c23)n[nH]1,CC(C)(C)n1nc(C(=O)Nc2cc(C(F)(F)F)[nH]n2)c2c(N)ncnc21,0.417,0
Cc1cc(NC(=O)c2cn(C3(C)CC3)c3ncnc(N)c23)n[nH]1,Cc1cc(CC(=O)c2cn(C(C)(C)c3cccs3)c3ncnc(N)c23)n[nH]1,0.375,0
Cc1cc(NC(=O)c2cn(C3(C)CC3)c3ncnc(N)c23)n[nH]1,Cc1cc(NC(=O)c2c(C#CC3CCOCC3)n(C3(C)CC3)c3ncnc(N)c23)[nH]n1,0.393,0
Cc1cc(NC(=O)c2cn(C3(C)CC3)c3ncnc(N)c23)n[nH]1,Cc1cc(NC(=O)c2nn(C(C)C)c3ncnc(N)c23)[nH]n1,0.375,0
Cc1cc(NC(=O)c2cn(C3(C)CC3)c3ncnc(N)c23)n[nH]1,Cc1cc(NC(=O)c2c(C#Cc3cnn(C)c3)n(C3(C)CC3)c3ncnc(N)c23)n[nH]1,0.568,0
Cc1cc(NC(=O)c2cn(C3(C)CC3)c3ncnc(N)c23)n[nH]1,Cc1cc(NC(=O)c2c(C#Cc3cccnc3)n(C3(C)CC3)c3ncnc(N)c23)n[nH]1,0.532,0
Cc1cc(NC(=O)c2cn(C3(C)CC3)c3ncnc(N)c23)n[nH]1,Cc1cc(NC(=O)c2c(C#CC3(O)CCCC3)n(C3(C)CC3)c3ncnc(N)c23)n[nH]1,0.569,0
Cc1cc(NC(=O)c2cn(C3(C)CC3)c3ncnc(N)c23)n[nH]1,C=C(CF)n1nc(C(=O)Nc2cc(C)[nH]n2)c2c(N)ncnc21,0.515,0
Cc1cc(NC(=O)c2cn(C3(C)CC3)c3ncnc(N)c23)n[nH]1,Cc1cc(NC(=O)c2c(C#CCC3(O)CCC3)n(C3(C)CC3)c3ncnc(N)c23)[nH]n1,0.398,0
Cc1cc(NC(=O)c2cn(C3(C)CC3)c3ncnc(N)c23)n[nH]1,Cc1cc(NC(=O)c2c(C#CCN3CCOCC3)n(C3(C)CC3)c3ncnc(N)c23)n[nH]1,0.526,0
COc1cc(Nc2c(C#N)cnc3cc4cc(OC)c(OCCN5CCN(C)CC5)cc4cc23)c(Cl)cc1Cl,COc1cc2ncc(C#N)c(Nc3ccc(Br)cc3Cl)c2cc1OC,0.493,0
COc1cc(Nc2c(C#N)cnc3cc4cc(OC)c(OCCN5CCN(C)CC5)cc4cc23)c(Cl)cc1Cl,C=Cc1ccc2c(Nc3cc(OC)c(Cl)cc3Cl)c(C#N)cnc2c1,0.527,0
COc1cc(Nc2c(C#N)cnc3cc4cc(OC)c(OCCN5CCN(C)CC5)cc4cc23)c(Cl)cc1Cl,COc1cc(Nc2c(C#N)cnc3cc(-c4ccc(CN5CCOCC5)nc4)ccc23)c(Cl)cc1Cl,0.524,0
