smiles_a,smiles_b,tanimoto,label
Cc1cc(NC(=O)c2cn(C3(C)CC3)c3ncnc(N)c23)n[nH]1,Cc1cc(NC(=O)c2cn(C(C)(C)C3CC3)c3ncnc(N)c23)n[nH]1,0.641,1
Cc1cc(NC(=O)c2cn(C3(C)CC3)c3ncnc(N)c23)n[nH]1,Cc1cc(NC(=O)c2cn(C3CCC(C)(C)CC3)c3ncnc(N)c23)n[nH]1,0.698,1
Cc1cc(NC(=O)c2cn(C3(C)CC3)c3ncnc(N)c23)n[nH]1,Cc1cc(NC(=O)c2cn(C34CC(C3)C4)c3ncnc(N)c23)n[nH]1,0.763,1
Cc1cc(NC(=O)c2cn(C3(C)CC3)c3ncnc(N)c23)n[nH]1,Cc1cc(NC(=O)c2cn(C3(C4CC4)CC3)c3ncnc(N)c23)n[nH]1,0.767,1
Cc1cc(NC(=O)c2cn(C3(C)CC3)c3ncnc(N)c23)n[nH]1,CC1(n2cc(C(=O)Nc3cc(Br)n[nH]3)c3c(N)ncnc32)CC1,0.689,1
Cc1cc(NC(=O)c2cn(C3(C)CC3)c3ncnc(N)c23)n[nH]1,Cc1cc(NC(=O)c2cn(C3CC4CCC3C4)c3ncnc(N)c23)n[nH]1,0.603,1
Cc1cc(NC(=O)c2cn(C3(C)CC3)c3ncnc(N)c23)n[nH]1,Cc1cc(NC(=O)c2cn(C(C)C)c3ncnc(N)c23)n[nH]1,0.678,1
Cc1cc(NC(=O)c2cn(C3(C)CC3)c3ncnc(N)c23)n[nH]1,COCC(C)(C)n1cc(C(=O)Nc2cc(C)[nH]n2)c2c(N)ncnc21,0.606,1
Cc1cc(NC(=O)c2cn(C3(C)CC3)c3ncnc(N)c23)n[nH]1,Cc1cc(NC(=O)c2cn(C3CCC(F)(F)C3)c3ncnc(N)c23)n[nH]1,0.642,1
Cc1cc(NC(=O)c2cn(C3(C)CC3)c3ncnc(N)c23)n[nH]1,Cc1cc(NC(=O)c2cn(C(C)(C)CF)c3ncnc(N)c23)n[nH]1,0.635,1
Cc1cc(NC(=O)c2cn(C3(C)CC3)c3ncnc(N)c23)n[nH]1,Cc1cc(NC(=O)c2cn(C3CCCC3)c3ncnc(N)c23)n[nH]1,0.661,1
Cc1cc(NC(=O)c2cn(C3(C)CC3)c3ncnc(N)c23)n[nH]1,Cc1cc(NC(=O)c2cn(C(C)(C)C)c3ncnc(N)c23)n[nH]1,0.678,1
Cc1cc(NC(=O)c2cn(C3(C)CC3)c3ncnc(N)c23)n[nH]1,Cc1cc(NC(=O)c2cn(C3(C)CCC3)c3ncnc(N)c23)n[nH]1,0.926,1
