epoch,train_loss,val_loss,pearson,spearman,mean_cos_high_tan,mean_cos_low_tan,margin
1,0.2820342973641613,0.06248525183211242,0.9133,0.8268,0.483,-0.708,1.191
2,0.05643644105271458,0.05009901416080193,0.9246,0.8384,0.4798,-0.717,1.1969
3,0.040463207781438706,0.06161824294393878,0.9015,0.834,0.4661,-0.7316,1.1977
4,0.034279034187174054,0.0407978848000287,0.9309,0.8401,0.4092,-0.7681,1.1774
5,0.0325173458133293,0.04259825862704052,0.9301,0.8505,0.4244,-0.7798,1.2041
6,0.030157857838317828,0.027772000265165745,0.9527,0.871,0.4056,-0.7607,1.1663
7,0.02770217351944131,0.02718336711424075,0.9544,0.8778,0.4074,-0.7869,1.1942
8,0.024809152107623876,0.029621938715186712,0.9492,0.8764,0.4002,-0.7426,1.1427
9,0.022376303013790486,0.03268713222589926,0.9491,0.8709,0.4258,-0.7371,1.1629
10,0.020732847280869417,0.025818037651223456,0.9572,0.8706,0.418,-0.7678,1.1858
11,0.019246539139114987,0.026516951123331817,0.9574,0.8754,0.4163,-0.8051,1.2214
12,0.0181223300140937,0.02259798740259851,0.9605,0.8806,0.3911,-0.7675,1.1586
13,0.01606686564598261,0.020738947788257984,0.9649,0.9018,0.4113,-0.7726,1.1839
14,0.014537444717519919,0.019195587503109797,0.9661,0.8962,0.3835,-0.7804,1.1639
15,0.012670921071854127,0.017702914494227024,0.9685,0.9082,0.3891,-0.7732,1.1623
16,0.01088092121315877,0.01639112777809483,0.9711,0.9137,0.3957,-0.7702,1.1659
17,0.00984007561051756,0.015411489424564606,0.9731,0.9114,0.3999,-0.7748,1.1747
18,0.00873909499156801,0.014823939451015967,0.9735,0.9171,0.388,-0.775,1.163
19,0.00811610388470685,0.014989789223508913,0.9749,0.9137,0.4106,-0.7629,1.1735
20,0.007183431778871275,0.013507397866952167,0.9771,0.9207,0.4096,-0.7674,1.1771
21,0.006302312996638629,0.013052301125719108,0.9778,0.9281,0.4065,-0.7546,1.1611
22,0.0058082678107261336,0.01272011332492834,0.9777,0.9336,0.3967,-0.7662,1.1629
23,0.0052557576678769514,0.012107897597068751,0.9789,0.935,0.4016,-0.7733,1.1749
24,0.004864879533984338,0.011912452622408124,0.979,0.9315,0.3929,-0.7683,1.1612
25,0.004500396290521288,0.011739521349572912,0.9795,0.9344,0.3976,-0.7616,1.1592
26,0.004226808646864131,0.011408953525583881,0.98,0.9372,0.3958,-0.7694,1.1652
27,0.004025210398207645,0.011390819316898738,0.98,0.9378,0.3971,-0.7669,1.1639
28,0.0038522161535032647,0.011299474650034539,0.9801,0.9379,0.3956,-0.7674,1.163
29,0.0037505940798118645,0.011287218017160995,0.9802,0.9403,0.3962,-0.7671,1.1632
30,0.0036793177206929095,0.011261467100580576,0.9802,0.9402,0.3958,-0.7665,1.1623
