pdb_id,ligand_id,binding_site,pocket_center_x,pocket_center_y,pocket_center_z,n_hbonds,n_hydrophobic,n_pi_stacking,n_salt_bridges,n_pi_cation,n_interactions
1KSW,NBS,NBS:A:1,0.232,50.632,3.05,5,2,0,2,0,9
1O42,843,843:A:300,17.702,21.625,21.451,5,6,0,2,1,14
1O43,821,821:A:300,17.807,19.862,21.185,5,8,0,2,1,16
1O44,852,852:A:300,17.832,21.591,21.798,5,7,0,4,2,18
1O45,687,687:A:300,17.376,21.197,21.288,5,6,0,2,2,15
1O46,903,903:A:300,17.912,21.781,21.781,5,7,0,5,2,19
1O47,822,822:A:300,17.377,22.636,20.899,7,6,0,0,1,14
1O48,853,853:A:300,18.061,20.664,21.568,4,10,0,2,1,17
1O49,493,493:A:300,17.755,22.501,20.273,9,8,0,2,1,20
1O4A,197,197:A:300,17.192,21.638,20.303,7,8,0,1,0,16
1O4B,876,876:A:300,16.801,25.199,18.678,8,4,0,0,0,12
1Y57,MPZ,MPZ:A:600,17.813,32.02,43.364,2,6,0,0,0,8
1YOL,S03,S03:A:601,3.182,25.341,31.398,4,5,0,1,0,10
1YOL,S03,S03:B:602,6.016,-4.488,-6.912,2,3,0,1,1,7
1YOM,P01,P01:A:1,7.63,-5.818,-7.271,2,7,0,0,0,9
1YOM,P01,P01:B:2,1.094,25.653,31.613,2,5,0,0,0,7
2BDF,24A,24A:A:600,11.741,16.688,-8.224,2,7,0,0,0,9
2BDF,24A,24A:B:700,-6.127,36.459,20.585,2,7,0,0,0,9
2BDJ,HET,HET:A:800,14.995,3.46,27.063,5,8,0,0,0,13
2H8H,H8H,H8H:A:534,18.49,22.578,57.26,1,4,0,0,0,5
2SRC,ANP,ANP:A:1,14.609,20.336,59.44,12,0,0,1,0,13
4K11,0J9,0J9:A:601,19.36,25.277,56.61,2,6,0,0,0,8
4MXO,DB8,DB8:A:601,13.282,-36.586,-8.059,1,2,0,0,0,3
4MXO,DB8,DB8:B:601,5.465,-4.323,31.255,2,5,0,0,0,7
4MXX,DB8,DB8:A:601,11.985,-36.204,-7.538,1,5,0,0,0,6
4MXX,DB8,DB8:B:601,5.104,-5.11,30.906,2,6,0,0,1,9
4MXY,DB8,DB8:A:601,10.441,-35.677,-8.057,2,6,0,0,0,8
4MXY,DB8,DB8:B:601,5.045,-5.443,30.6,1,5,0,0,0,6
4MXZ,DB8,DB8:A:601,10.441,-35.677,-8.057,2,6,0,0,0,8
4MXZ,DB8,DB8:B:601,5.045,-5.443,30.6,1,5,0,0,0,6
6ATE,6H3,6H3:A:601,1.435,-33.791,8.37,2,4,0,0,0,6
6E6E,HVY,HVY:A:601,33.221,2.222,7.097,4,10,0,0,0,14
6E6E,HVY,HVY:B:601,32.982,-39.237,8.08,3,10,0,0,0,13
6E6E,HVY,HVY:C:601,1.414,-1.875,47.269,4,9,0,0,0,13
6E6E,HVY,HVY:D:601,0.823,-43.351,47.016,4,10,0,0,1,15
6E6E,HVY,HVY:E:601,24.672,-13.978,67.353,3,8,0,0,0,11
6E6E,HVY,HVY:F:601,23.524,-56.071,67.195,3,10,0,0,0,13
6E6E,HVY,HVY:G:601,-7.917,-9.328,107.585,4,9,0,0,1,14
6E6E,HVY,HVY:H:601,-8.659,-51.646,107.891,4,8,0,0,0,12
7NG7,UCW,UCW:A:602,-15.709,-0.805,-5.948,3,4,0,2,1,10
7OTE,0LI,0LI:A:601,4.764,9.652,-3.255,1,8,0,2,0,11
7OTE,0LI,0LI:B:601,4.909,-33.255,-35.718,2,7,0,2,0,11
8HAQ,L1N,L1N:A:601,11.899,-9.124,-16.893,4,5,0,0,0,9
8HAQ,L1N,L1N:B:601,3.569,22.549,22.695,3,5,0,0,0,8
8JF3,C0N,C0N:A:601,-4.543,31.3,10.926,4,3,0,1,0,8
8JF3,C0N,C0N:B:601,4.125,63.784,48.17,4,2,0,1,0,7
8JN8,JA6,JA6:A:601,-18.077,74.451,105.986,2,7,0,0,0,9
8JN9,UJ0,UJ0:A:601,-17.632,74.603,106.229,2,5,0,0,0,7
