pdb_id,ligand_id,n_interactions,n_hbonds,n_hydrophobic,center_x,center_y,center_z
1O49,493,20,9,8,17.755,22.501,20.273
1O46,903,19,5,7,17.912,21.781,21.781
1O44,852,18,5,7,17.832,21.591,21.798
1O48,853,17,4,10,18.061,20.664,21.568
1O43,821,16,5,8,17.807,19.862,21.185
1O4A,197,16,7,8,17.192,21.638,20.303
1O45,687,15,5,6,17.376,21.197,21.288
1O42,843,14,5,6,17.702,21.625,21.451
1O47,822,14,7,6,17.377,22.636,20.899
2BDJ,HET,13,5,8,14.995,3.46,27.063
